"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.1uF";"CAP0603";"0603";"C4";"Capacitor";"";
"6";"10k";"RESISTOR_SMDR0603";"R0603";"R1, R4, R5, R6, R9, R14";"RESISTOR, American symbol";"";
"1";"10k 1%";"RESISTOR_SMDR0603";"R0603";"R3";"RESISTOR, American symbol";"";
"2";"10ohm";"RESISTOR_SMDR0603";"R0603";"R25, R26";"RESISTOR, American symbol";"";
"1";"10uF";"CAP0603";"0603";"C3";"Capacitor";"";
"1";"1uF";"CAP0603";"0603";"C5";"Capacitor";"";
"2";"1uF";"CPOL-USB";"PANASONIC_B";"C1, C2";"POLARIZED CAPACITOR, American symbol";"";
"7";"4.7k";"RESISTOR_SMDR0603";"R0603";"R7, R8, R10, R11, R12, R13, R29";"RESISTOR, American symbol";"";
"1";"4.7k 1%";"RESISTOR_SMDR0603";"R0603";"R28";"RESISTOR, American symbol";"";
"1";"47k 1%";"RESISTOR_SMDR0603";"R0603";"R2";"RESISTOR, American symbol";"";
"1";"82ohm";"RESISTOR_SMDR0603";"R0603";"R27";"RESISTOR, American symbol";"";
"1";"AP2204R";"AP2204R";"SOT-89";"AP2204R";"Voltage regulator";"";
"1";"BJT_NPN_FMMT619TA";"BJT_NPN_FMMT619TA";"SOT23";"BJT_NPN";"BJT NPN Transistor";"";
"1";"CR1220_BATTERY_HOLDERSMD";"CR1220_BATTERY_HOLDERSMD";"CR1220_BATTERY_HOLDER_SMD";"CR1220";"CR1220 Battery Holder";"";
"5";"HOLE-LAYOUT4-40-SOCKET-HEAD";"HOLE-LAYOUT4-40-SOCKET-HEAD";"4-40-SCREW-HOLE";"U$4, U$5, U$11, U$12, U$13";"Drill hole";"";
"8";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"U$1, U$2, U$3, U$6, U$7, U$8, U$9, U$10";"Solder jumper3 part, 2 of 3 normally closed";"";
"1";"LED_3_COLOR_ANODE1";"LED_3_COLOR_ANODE1";"LED_RGB_SMD_1.6X1.6";"RGB_LED";"RGB LED with common anode on pin1";"";
"1";"MAX6100-MAX6107_VOLTAGE_REF";"MAX6100-MAX6107_VOLTAGE_REF";"SOT23-3";"MAX6103";"MAXIM MAX6100-6107 precision voltage reference";"";
"9";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"ONEWIRE_BUS, SENSOR1, SENSOR2, SENSOR3, SENSOR4, SENSOR5, SENSOR6, SENSOR7, SENSOR8";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"1";"MOSFET-PCHANNELBSH203";"MOSFET-PCHANNELBSH203";"SOT23-3";"MOSFET_BSH203";"Generic PMOSFET";"";
"1";"OLED_0.96_I2CGND_PIN1_SMALL";"OLED_0.96_I2CGND_PIN1_SMALL";"OLED_0.96_I2C_GND_PIN1_SMALL";"OLED";"CHECK VCC & GND PIN VARIANT";"";
"1";"PINHD-1X2SILK";"PINHD-1X2SILK";"1X02";"THERMISTOR";"1x2 pin header 0.1" spacing (2.54mm)";"";
"2";"PUSHBUTTON_DPST_SMDSMALL";"PUSHBUTTON_DPST_SMDSMALL";"PUSHBUTTON_SPST_PTS525_SERIES";"BUTTON1, RESET";"PUSHBUTTON DPST SMD";"";
"1";"TCA9548APWR";"TCA9548APWR";"SOP65P640X120-24N";"U1";"Low-Voltage 8-Channel I2C Switch With Reset 24-TSSOP -40 to 85";"";
"1";"TEENSY_3.5/3.6";"TEENSY_3.5/3.6";"TEENSY_3.5/3.6";"TEENSY3.5";"";"";
"1";"TERMINAL-2PIN-5.08MMDEFAULT";"TERMINAL-2PIN-5.08MMDEFAULT";"TERMINAL-2PIN-5.08MM";"BATTERY_TERMINAL";"2-pin terminal block";"";
